cazy	test	extract
CBM54	Binding to xylan, yeast cell wall glucan and chitin shown in Dvortsov et al., Microbiology UK (2009) in press.	CBM54|BINDS|Xylan
CBM54	Binding to xylan, yeast cell wall glucan and chitin shown in Dvortsov et al., Microbiology UK (2009) in press.	CBM54|BINDS|Chitin
CBM55	Binding to chitin demonstrated in the case of the CBM55 of Entamoeba histolytica chitinase.	CBM55|BINDS|Chitin
CBM56	&beta;-1,3-glucan binding function demonstrated by Yamamoto et al. (1998) FEBS Letters 433:41-43 [PMID: 9738929]	CBM56|BINDS|beta-1,3-glucan
CBM58	The CBM58 module of the Bacteroides thetaiotaomicron SusG protein has been shown to bind maltoheptaose	CBM58|BINDS|Maltoheptaose
CBM59	Binding to mannan, xylan, and cellulose demonstrated for the CBM59 of ManF-X10 xylanase from an environmental genomic DNA library (Li et al. (2009) World Journal of Microbiology and Biotechnology 25:2071-2078; doi:10.1007/s11274-009-0111-6)	CBM59|BINDS|Mannans
CBM59	Binding to mannan, xylan, and cellulose demonstrated for the CBM59 of ManF-X10 xylanase from an environmental genomic DNA library (Li et al. (2009) World Journal of Microbiology and Biotechnology 25:2071-2078; doi:10.1007/s11274-009-0111-6)	CBM59|BINDS|Xylans
CBM59	Binding to mannan, xylan, and cellulose demonstrated for the CBM59 of ManF-X10 xylanase from an environmental genomic DNA library (Li et al. (2009) World Journal of Microbiology and Biotechnology 25:2071-2078; doi:10.1007/s11274-009-0111-6)	CBM59|BINDS|Cellulose
CBM60	Modules of approx 120 residues usually found appended to xylanases. The xylan-binding function and the relatedness (circular permutation) to family CBM36 has been demonstrated [PMID: 20659893].	CBM60|RELATES|CBM36
CBM60	Modules of approx 120 residues usually found appended to xylanases. The xylan-binding function and the relatedness (circular permutation) to family CBM36 has been demonstrated [PMID: 20659893].	CBM60|BINDS|Xylans
CBM61	Modules of approx. 150 residues found appended to GH16, GH30, GH31, GH43, GH53 and GH66 catalytic domains. A &beta;-1,4-galactan binding function has been demonstrated for the CBM61 of Thermotoga maritima GH53 galactanase [PMID: 20826814].	CBM61|COEXISTS|GH16
CBM61	Modules of approx. 150 residues found appended to GH16, GH30, GH31, GH43, GH53 and GH66 catalytic domains. A &beta;-1,4-galactan binding function has been demonstrated for the CBM61 of Thermotoga maritima GH53 galactanase [PMID: 20826814].	CBM61|COEXISTS|GH30
CBM61	Modules of approx. 150 residues found appended to GH16, GH30, GH31, GH43, GH53 and GH66 catalytic domains. A &beta;-1,4-galactan binding function has been demonstrated for the CBM61 of Thermotoga maritima GH53 galactanase [PMID: 20826814].	CBM61|COEXISTS|GH31
CBM61	Modules of approx. 150 residues found appended to GH16, GH30, GH31, GH43, GH53 and GH66 catalytic domains. A &beta;-1,4-galactan binding function has been demonstrated for the CBM61 of Thermotoga maritima GH53 galactanase [PMID: 20826814].	CBM61|COEXISTS|GH43
CBM61	Modules of approx. 150 residues found appended to GH16, GH30, GH31, GH43, GH53 and GH66 catalytic domains. A &beta;-1,4-galactan binding function has been demonstrated for the CBM61 of Thermotoga maritima GH53 galactanase [PMID: 20826814].	CBM61|COEXISTS|GH53
CBM61	Modules of approx. 150 residues found appended to GH16, GH30, GH31, GH43, GH53 and GH66 catalytic domains. A &beta;-1,4-galactan binding function has been demonstrated for the CBM61 of Thermotoga maritima GH53 galactanase [PMID: 20826814].	CBM61|COEXISTS|GH66
CBM61	Modules of approx. 150 residues found appended to GH16, GH30, GH31, GH43, GH53 and GH66 catalytic domains. A &beta;-1,4-galactan binding function has been demonstrated for the CBM61 of Thermotoga maritima GH53 galactanase [PMID: 20826814].	CBM61|BINDS|beta-1,4-galactan
CBM62	The CBM62 module of Clostridium thermocellum Cthe_2193 protein binds galactose moieties found on xyloglucan, arabinogalactan and galactomannan.	CBM62|BINDS|Galactose
CBM62	The CBM62 module of Clostridium thermocellum Cthe_2193 protein binds galactose moieties found on xyloglucan, arabinogalactan and galactomannan.	CBM62|BINDS|xyloglucan
CBM62	The CBM62 module of Clostridium thermocellum Cthe_2193 protein binds galactose moieties found on xyloglucan, arabinogalactan and galactomannan.	CBM62|BINDS|arabinogalactan
CBM62	The CBM62 module of Clostridium thermocellum Cthe_2193 protein binds galactose moieties found on xyloglucan, arabinogalactan and galactomannan.	CBM62|BINDS|galactomannan
CBM63	The CBM63 module of Bacillus subtilis expansin EXLX1 has been shown to bind cellulose.	CBM63|BINDS|Cellulose
CBM64	Module found at C-term of several Spirochaeta thermophila proteins. Binding to cellulose shown by Angelov, Loderer, Pompei & Liebl (2011) AEM, 77:5483-5489 [PMID - 21685171]	CBM64|BINDS|Cellulose
CBM65	CBM65A and CBM65B, derived from Eubacterium cellulosolvens endoglucanase EcCel5A, bind to a range of &beta;-glucans but, uniquely, display significant preference for xyloglucan	CBM65|BINDS|xyloglucan
CBM66	The CBM66 module, derived from the Bacillus subtilis exo-acting &beta;-fructosidase SacC, targets the terminal fructoside residue of fructans.	CBM66|BINDS|Fructans
CBM67	Fujimoto et al. [PMID : 23486481] disclosed the L-rhamnose binding activity and 3-D structure of the CBM67 of Streptomyces avermitilis &alpha;-L-rhamnosidase (SaRha78A);	CBM67|BINDS|L-rhamnose
CBM68	Binding to maltotriose and maltotetraose shown for the pullulanase of Anoxybacillus sp. LM18-11. Binding function derived from crystal structure and deletion of the CBM, which showed reduced specific activity and increased Km value compared to the wild type enzyme.	CBM68|BINDS|maltotriose
CBM68	Binding to maltotriose and maltotetraose shown for the pullulanase of Anoxybacillus sp. LM18-11. Binding function derived from crystal structure and deletion of the CBM, which showed reduced specific activity and increased Km value compared to the wild type enzyme.	CBM68|BINDS|maltotetraose
CBM69	starch-binding function demonstrated in one case; distantly related to families CBM20 and CBM48	CBM69|RELATES|CBM20
CBM69	starch-binding function demonstrated in one case; distantly related to families CBM20 and CBM48	CBM69|RELATES|CBM48
CBM70	The hyaluronan-specific binding function of the N-terminal CBM70 module of Streptococcus pneumoniae hyaluronate lyase has been demonstrated.	CBM70|BINDS|Hyaluronic Acid
CBM71	The two CBM71s of S. pneumoniae BgaA bind lactose and LacNAc.	CBM71|BINDS|N-acetyl-lactosamine
CBM72	Modules of 130-180 residues found at the C-terminus glycoside hydrolases from various families, sometimes as tandem repeats. The CBM72 found on an endoglucanase from an uncultivated microorganism was found to bind a broad spectrum of polysaccharides including soluble and insoluble cellulose, &beta;-1,3/1,4-mixed linked glucans, xylan, and &beta;-mannan [PMID=26765840].	CBM72|BINDS|Cellulose
CBM72	Modules of 130-180 residues found at the C-terminus glycoside hydrolases from various families, sometimes as tandem repeats. The CBM72 found on an endoglucanase from an uncultivated microorganism was found to bind a broad spectrum of polysaccharides including soluble and insoluble cellulose, &beta;-1,3/1,4-mixed linked glucans, xylan, and &beta;-mannan [PMID=26765840].	CBM72|BINDS|Xylan
CBM73	Modules of approx 65 residues found on various enzymes active of chitin. Chitin-binding function demonstrated for the Cellvibrio japonicus CjLPMO10A protein.	CBM73|BINDS|Chitin
CBM74	Modules of approx. 300 residues appended to several &alpha;-amylases. The starch-binding function has been demonstrated for the CBM74 appended to the GH13 &alpha;-amylase of Microbacterium aureum B8.A	CBM74|BINDS|Amylose
CBM74	Modules of approx. 300 residues appended to several &alpha;-amylases. The starch-binding function has been demonstrated for the CBM74 appended to the GH13 &alpha;-amylase of Microbacterium aureum B8.A	CBM74|COEXISTS|GH13
CBM75	Modules of 290 residues appended to GH43_16 enzymes. So far found exclusively in Ruminococci. The xyloglucan-binding function was demonstrated for the R. flavefaciens protein.	CBM75|COEXISTS|GH43_16
CBM75	Modules of 290 residues appended to GH43_16 enzymes. So far found exclusively in Ruminococci. The xyloglucan-binding function was demonstrated for the R. flavefaciens protein.	CBM75|BINDS|xyloglucan
CBM76	Modules of approx. 170 residues appended to GH44 enzymes. So far found exclusively in Ruminococci. Broad specificity binding to &beta;-glucans demontsrated for the R. flavefaciens module, which binds xyloglucan, glucomannan, and barley &beta;-glucan.	CBM76|COEXISTS|GH44
CBM76	Modules of approx. 170 residues appended to GH44 enzymes. So far found exclusively in Ruminococci. Broad specificity binding to &beta;-glucans demontsrated for the R. flavefaciens module, which binds xyloglucan, glucomannan, and barley &beta;-glucan.	CBM76|BINDS|beta-Glucans
CBM76	Modules of approx. 170 residues appended to GH44 enzymes. So far found exclusively in Ruminococci. Broad specificity binding to &beta;-glucans demontsrated for the R. flavefaciens module, which binds xyloglucan, glucomannan, and barley &beta;-glucan.	CBM76|BINDS|xyloglucan
CBM76	Modules of approx. 170 residues appended to GH44 enzymes. So far found exclusively in Ruminococci. Broad specificity binding to &beta;-glucans demontsrated for the R. flavefaciens module, which binds xyloglucan, glucomannan, and barley &beta;-glucan.	CBM76|BINDS|glucomannan
CBM77	Pectin binding modules of approx. 110 residues. The Ruminococcus flavefaciens CBM77 was shown to bind various pectins of low degree of esterification.	CBM77|BINDS|Pectins
CBM78	Modules of approx. 150 residues appended to the C-terminus of GH5 and GH26 enzymes. So far found exclusively in Ruminococcal enzymes. The R. flavefaciens module has been shown to bind decorated &beta;-1,4-glucans with a preference for xyloglucan.	CBM78|COEXISTS|GH5
CBM78	Modules of approx. 150 residues appended to the C-terminus of GH5 and GH26 enzymes. So far found exclusively in Ruminococcal enzymes. The R. flavefaciens module has been shown to bind decorated &beta;-1,4-glucans with a preference for xyloglucan.	CBM78|COEXISTS|GH26
CBM78	Modules of approx. 150 residues appended to the C-terminus of GH5 and GH26 enzymes. So far found exclusively in Ruminococcal enzymes. The R. flavefaciens module has been shown to bind decorated &beta;-1,4-glucans with a preference for xyloglucan.	CBM78|BINDS|&beta;-1,4-glucans
CBM78	Modules of approx. 150 residues appended to the C-terminus of GH5 and GH26 enzymes. So far found exclusively in Ruminococcal enzymes. The R. flavefaciens module has been shown to bind decorated &beta;-1,4-glucans with a preference for xyloglucan.	CBM78|BINDS|xyloglucan
CBM79	Modules of approx. 130 residues found so far only in ruminococcal proteins. Binding to various &beta;-glucans was shown for the R. flavefaciens GH9 enzyme.	CBM79|COEXISTS|GH9
CBM79	Modules of approx. 130 residues found so far only in ruminococcal proteins. Binding to various &beta;-glucans was shown for the R. flavefaciens GH9 enzyme.	CBM79|BINDS|beta-Glucans
CBM80	Modules of approx. 90 residues found so far only in ruminococcal enzymes of families GH5 or GH26. Broad specificity for &beta;-glycans (xyloglucan, glucomannan, galactomannan, barley &beta;-glucan).	CBM80|COEXISTS|GH5
CBM80	Modules of approx. 90 residues found so far only in ruminococcal enzymes of families GH5 or GH26. Broad specificity for &beta;-glycans (xyloglucan, glucomannan, galactomannan, barley &beta;-glucan).	CBM80|COEXISTS|GH26
CBM80	Modules of approx. 90 residues found so far only in ruminococcal enzymes of families GH5 or GH26. Broad specificity for &beta;-glycans (xyloglucan, glucomannan, galactomannan, barley &beta;-glucan).	CBM80|BINDS|glucomannan
CBM80	Modules of approx. 90 residues found so far only in ruminococcal enzymes of families GH5 or GH26. Broad specificity for &beta;-glycans (xyloglucan, glucomannan, galactomannan, barley &beta;-glucan).	CBM80|BINDS|xyloglucan
CBM80	Modules of approx. 90 residues found so far only in ruminococcal enzymes of families GH5 or GH26. Broad specificity for &beta;-glycans (xyloglucan, glucomannan, galactomannan, barley &beta;-glucan).	CBM80|BINDS|galactomannan
CBM81	Small family of modules of approx. 100 residues, appended to GH5_2 enzymes. So far found exclusively in a few gammaproteobacteria. The CBM81 from an uncultivated species was shown to have binding affinity for &beta;-1,4-, &beta;-1,3,-glucans, xyloglucan, avicel and cellooligosaccharides.	CBM81|BINDS|xyloglucan
CBM81	Small family of modules of approx. 100 residues, appended to GH5_2 enzymes. So far found exclusively in a few gammaproteobacteria. The CBM81 from an uncultivated species was shown to have binding affinity for &beta;-1,4-, &beta;-1,3,-glucans, xyloglucan, avicel and cellooligosaccharides.	CBM81|COEXISTS|GH5_2
CBM82	The boundaries, structure and starch-binding function of the CBM82 module of Eubacterium rectale Amy13K have been reported by Cockburn and coworkers in Molec. Microbiol. (2017) (PMID=29139580)	CBM82|BINDS|Starch
CBM83	The boundaries, structure and starch-binding function of the CBM83 module of Eubacterium rectale Amy13K have been reported by Cockburn and coworkers in Molec. Microbiol. (2017) (PMID=29139580)	CBM83|BINDS|Starch
CBM84	Modules of approx. 140 aminoacids appended to enzymes of different families of CAZymes. A xanthan-binding function was reported for the GH9 xanthanase of Paenibacillus nanensis by Moroz et al. ACS Catal., 2018, 8 (7), pp 6021-6034.	CBM84|COEXISTS|GH9
CBM84	Modules of approx. 140 aminoacids appended to enzymes of different families of CAZymes. A xanthan-binding function was reported for the GH9 xanthanase of Paenibacillus nanensis by Moroz et al. ACS Catal., 2018, 8 (7), pp 6021-6034.	CBM84|BINDS|xanthan
CBM87	Binding to &alpha;-1,4-N-acetylgalactosamine-rich regions of galactosaminogalactan	CBM87|BINDS|galactosaminogalactan
CBM88	Binding to terminal galactose in galactoxyloglucan and galactomannan	CBM88|BINDS|Galactose
CBM90	Modules of approx 110 residues appended to PL24 and PL28 ulvan lyases; ulvan-binding function demonstrated for the CBM90 module of PL28 ulvan lyase from Nonlabens ulvanivorans	CBM90|COEXISTS|PL24
CBM90	Modules of approx 110 residues appended to PL24 and PL28 ulvan lyases; ulvan-binding function demonstrated for the CBM90 module of PL28 ulvan lyase from Nonlabens ulvanivorans	CBM90|COEXISTS|PL28
CBM90	Modules of approx 110 residues appended to PL24 and PL28 ulvan lyases; ulvan-binding function demonstrated for the CBM90 module of PL28 ulvan lyase from Nonlabens ulvanivorans	CBM90|BINDS|ulvan
